,Order_ID,Customer_ID,order,ship_id,shipping,cons
0,O100,B100,2021-05-21 06:16:45,SH100,2021-05-26 06:16:45,CW100
1,O101,B101,2021-06-18 03:25:48,SH101,2021-06-23 03:25:48,CW101
2,O102,B102,2021-05-29 13:08:55,SH102,2021-06-03 13:08:55,CW102
3,O103,B103,2021-08-09 13:48:03,SH103,2021-08-14 13:48:03,CW103
4,O104,B104,2021-01-10 09:40:10,SH104,2021-01-15 09:40:10,CW104
5,O105,B105,2021-11-10 03:58:12,SH105,2021-11-15 03:58:12,CW105
6,O106,B106,2021-11-14 23:26:29,SH106,2021-11-19 23:26:29,CW106
7,O107,B107,2021-11-15 10:01:05,SH107,2021-11-20 10:01:05,CW107
8,O108,B108,2021-10-18 07:37:55,SH108,2021-10-23 07:37:55,CW108
9,O109,B109,2021-04-21 15:20:11,SH109,2021-04-26 15:20:11,CW109
10,O110,B110,2021-09-03 09:40:24,SH110,2021-09-08 09:40:24,CW110
11,O111,B111,2021-07-04 00:09:43,SH111,2021-07-09 00:09:43,CW111
12,O112,B112,2021-10-03 07:08:29,SH112,2021-10-08 07:08:29,CW112
13,O113,B113,2021-10-14 02:52:50,SH113,2021-10-19 02:52:50,CW113
14,O114,B114,2021-07-09 05:43:52,SH114,2021-07-14 05:43:52,CW114
15,O115,B115,2021-11-29 21:15:48,SH115,2021-12-04 21:15:48,CW115
16,O116,B116,2021-07-26 05:35:54,SH116,2021-07-31 05:35:54,CW116
17,O117,B117,2021-01-06 12:38:55,SH117,2021-01-11 12:38:55,CW117
18,O118,B118,2022-01-01 03:18:27,SH118,2022-01-06 03:18:27,CW118
19,O119,B119,2021-01-04 00:50:58,SH119,2021-01-09 00:50:58,CW119
20,O120,B120,2021-06-02 14:45:52,SH100,2021-06-07 14:45:52,CW120
21,O121,B121,2021-12-23 23:18:55,SH101,2021-12-28 23:18:55,CW121
22,O122,B122,2021-06-01 02:13:31,SH102,2021-06-06 02:13:31,CW122
23,O123,B123,2021-06-01 04:03:41,SH103,2021-06-06 04:03:41,CW123
24,O124,B124,2021-12-09 23:46:25,SH104,2021-12-14 23:46:25,CW124
25,O125,B125,2021-01-18 17:43:18,SH105,2021-01-23 17:43:18,CW125
