,Customer_ID,Product_ID,Ratings
0,C110,P121,2
1,C187,P125,2
2,C134,P206,5
3,C175,P160,1
4,C189,P154,1
5,C141,P214,1
6,C130,P105,5
7,C179,P238,3
8,C107,P236,3
9,C149,P159,2
10,C108,P159,2
11,C105,P132,5
12,C104,P230,5
13,C102,P106,4
14,C144,P164,2
15,C176,P138,2
16,C181,P105,2
17,C129,P230,1
18,C178,P101,1
19,C162,P157,2
20,C145,P246,5
21,C105,P136,1
22,C132,P134,3
23,C182,P149,2
24,C182,P140,4
25,C158,P114,4
26,C126,P118,4
27,C112,P127,5
28,C104,P160,3
29,C190,P223,2
30,C188,P106,2
31,C139,P250,4
32,C128,P222,4
33,C128,P151,4
34,C176,P238,5
35,C112,P181,2
36,C141,P135,3
37,C115,P160,3
38,C112,P113,4
39,C156,P189,2
40,C121,P246,3
41,C163,P195,2
42,C193,P233,5
43,C182,P191,1
44,C120,P172,2
45,C143,P233,5
46,C189,P134,3
47,C184,P168,2
48,C140,P235,1
49,C128,P233,4
50,C153,P191,1
51,C179,P139,5
52,C136,P148,4
53,C170,P223,4
54,C170,P235,4
55,C196,P228,1
56,C157,P178,5
57,C120,P249,3
58,C191,P169,5
59,C183,P126,2
60,C110,P250,1
61,C126,P142,5
62,C145,P160,2
63,C130,P235,1
64,C182,P220,2
65,C138,P112,4
66,C145,P154,4
67,C198,P118,2
68,C125,P177,2
69,C183,P231,5
70,C169,P182,1
71,C196,P155,5
72,C185,P131,1
73,C129,P108,3
74,C113,P157,1
75,C134,P132,2
76,C183,P208,1
77,C171,P168,4
78,C114,P242,2
79,C178,P183,2
80,C103,P191,4
81,C120,P114,3
82,C161,P190,3
83,C112,P128,5
84,C130,P207,5
85,C115,P247,3
86,C122,P131,2
87,C147,P120,4
88,C140,P179,5
89,C184,P137,3
90,C128,P190,1
91,C129,P106,4
92,C160,P130,4
93,C158,P101,4
94,C103,P139,4
95,C121,P147,5
96,C122,P217,4
97,C163,P178,5
98,C198,P161,2
99,C146,P138,5
100,C198,P122,2
101,C199,P236,5
102,C121,P175,5
103,C109,P224,5
104,C182,P112,4
105,C177,P128,5
106,C128,P193,2
107,C117,P201,4
108,C185,P114,3
109,C173,P131,2
110,C123,P235,5
111,C131,P244,3
112,C167,P173,2
113,C111,P131,3
114,C197,P147,4
115,C126,P187,5
116,C124,P235,5
117,C148,P226,2
118,C183,P210,5
119,C110,P118,1
120,C107,P237,5
121,C159,P133,5
122,C124,P238,5
123,C183,P211,4
124,C126,P176,3
125,C140,P147,4
126,C100,P232,3
127,C123,P202,2
128,C123,P174,2
129,C199,P222,1
130,C194,P194,3
131,C123,P172,5
132,C138,P132,5
133,C131,P162,5
134,C173,P113,2
135,C131,P103,5
136,C117,P230,2
137,C145,P162,2
138,C123,P210,3
139,C188,P112,5
140,C123,P199,3
141,C106,P184,2
142,C133,P119,2
143,C197,P123,1
144,C125,P217,4
145,C166,P228,5
146,C106,P112,3
147,C101,P226,3
148,C183,P224,3
149,C104,P132,4
150,C149,P247,2
151,C135,P148,5
152,C192,P210,4
153,C156,P142,4
154,C180,P151,2
155,C200,P124,5
156,C187,P223,3
157,C131,P125,5
158,C191,P122,2
159,C177,P148,2
160,C136,P139,3
161,C111,P209,2
162,C145,P194,2
163,C105,P158,1
164,C163,P129,2
165,C110,P122,5
166,C125,P156,3
167,C102,P107,4
168,C193,P173,5
169,C184,P193,3
170,C153,P233,1
171,C111,P196,3
172,C197,P147,5
173,C186,P245,1
174,C100,P236,3
175,C155,P109,5
176,C186,P227,5
177,C141,P205,2
178,C117,P190,2
179,C142,P125,4
180,C108,P236,2
181,C137,P120,3
182,C162,P106,1
183,C179,P161,1
184,C170,P222,1
185,C154,P197,4
186,C192,P169,3
187,C161,P137,3
188,C153,P147,4
189,C150,P196,2
190,C180,P141,3
191,C139,P248,4
192,C136,P140,5
193,C158,P111,1
194,C168,P102,2
195,C200,P103,2
196,C119,P175,5
197,C197,P107,5
198,C153,P216,1
199,C179,P248,5
200,C139,P156,3
201,C187,P147,4
202,C130,P210,3
203,C199,P104,3
204,C152,P122,4
205,C197,P213,3
206,C197,P100,3
207,C181,P225,1
208,C170,P121,2
209,C175,P133,3
210,C118,P128,1
211,C139,P166,2
212,C164,P149,2
213,C119,P104,2
214,C182,P148,4
215,C182,P151,3
216,C145,P193,2
217,C163,P140,4
218,C142,P240,2
219,C171,P217,2
220,C167,P218,5
221,C186,P158,4
222,C182,P130,4
223,C179,P177,1
224,C195,P102,4
225,C179,P183,3
226,C155,P221,5
227,C116,P174,1
228,C173,P138,1
229,C170,P145,3
230,C146,P101,2
231,C186,P213,3
232,C143,P169,4
233,C187,P228,4
234,C161,P232,1
235,C137,P128,3
236,C108,P242,4
237,C127,P195,4
238,C168,P121,2
239,C197,P101,3
240,C114,P202,3
241,C140,P210,5
242,C139,P227,5
243,C168,P215,5
244,C150,P216,1
245,C170,P149,5
246,C172,P145,4
247,C181,P142,2
248,C114,P196,1
249,C147,P103,3
250,C115,P174,5
251,C116,P138,2
