,Cart_ID,Price,Quantity,Coupon_Applied
0,CA100,1129,23,True
1,CA101,904,41,False
2,CA102,1246,49,True
3,CA103,552,47,True
4,CA104,281,44,True
5,CA105,843,18,False
6,CA106,1379,25,False
7,CA107,1178,45,False
8,CA108,1032,10,True
9,CA109,267,43,True
10,CA110,2432,14,True
11,CA111,542,28,True
12,CA112,561,18,True
13,CA113,2186,23,True
14,CA114,1762,48,True
15,CA115,2025,44,False
16,CA116,369,16,True
17,CA117,1515,23,True
18,CA118,2153,9,True
19,CA119,1163,27,True
20,CA120,1863,32,True
21,CA121,1505,11,False
22,CA122,819,42,True
23,CA123,1749,16,False
24,CA124,980,38,False
25,CA125,168,28,True
26,CA126,998,19,False
27,CA127,780,23,True
28,CA128,1662,27,False
29,CA129,1579,41,False
30,CA130,245,42,True
31,CA131,943,26,False
32,CA132,910,50,True
33,CA133,1060,25,True
34,CA134,2364,22,True
35,CA135,2029,49,True
36,CA136,1225,38,False
37,CA137,2192,24,True
38,CA138,107,49,True
39,CA139,509,38,True
40,CA140,1638,9,True
41,CA141,2413,15,False
42,CA142,1962,17,False
43,CA143,1799,14,False
44,CA144,386,41,False
45,CA145,1236,19,False
46,CA146,1852,18,True
47,CA147,1726,11,False
48,CA148,456,29,False
49,CA149,1115,11,True
50,CA150,1362,28,True
51,CA151,1789,47,True
52,CA152,1288,45,False
53,CA153,2015,29,True
54,CA154,977,47,True
55,CA155,336,38,True
56,CA156,2185,43,True
57,CA157,2266,14,True
58,CA158,523,9,True
59,CA159,1159,47,False
60,CA160,2467,16,True
61,CA161,627,31,True
62,CA162,1128,6,True
63,CA163,573,46,True
64,CA164,1483,47,True
65,CA165,575,8,True
66,CA166,151,34,True
67,CA167,1249,31,False
68,CA168,713,16,True
69,CA169,547,44,True
70,CA170,782,41,False
71,CA171,314,9,True
72,CA172,405,29,True
73,CA173,226,32,True
74,CA174,1082,38,True
75,CA175,1997,36,True
76,CA176,2221,44,True
77,CA177,614,24,True
78,CA178,188,24,False
79,CA179,772,21,False
80,CA180,308,22,False
81,CA181,1980,24,True
82,CA182,2500,41,True
83,CA183,300,31,True
84,CA184,2497,42,True
85,CA185,2072,41,True
86,CA186,1197,35,True
87,CA187,423,26,True
88,CA188,858,12,True
89,CA189,198,16,True
90,CA190,484,21,True
91,CA191,1986,6,True
92,CA192,885,27,True
93,CA193,2177,46,True
94,CA194,2120,20,True
95,CA195,1992,16,True
96,CA196,1391,13,True
97,CA197,1031,15,True
98,CA198,1228,26,True
99,CA199,1492,13,True
