,Payment_ID,Order_ID,Customer_ID,Payment_Method,Amount_Paid
0,PA100,O100,C100,credit card,912
1,PA101,O101,C101,credit card,456
2,PA102,O102,C102,emi,1873
3,PA103,O103,C103,credit card,2182
4,PA104,O104,C104,netbanking,2218
5,PA105,O105,C105,netbanking,2029
6,PA106,O106,C106,credit card,783
7,PA107,O107,C107,netbanking,2207
8,PA108,O108,C108,paytm,717
9,PA109,O109,C109,paytm,331
10,PA110,O110,C110,credit card,1504
11,PA111,O111,C111,netbanking,1246
12,PA112,O112,C112,debit card,925
13,PA113,O113,C113,paytm,598
14,PA114,O114,C114,netbanking,896
15,PA115,O115,C115,netbanking,176
16,PA116,O116,C116,emi,1565
17,PA117,O117,C117,credit card,1671
18,PA118,O118,C118,paytm,754
19,PA119,O119,C119,cash,568
20,PA120,O120,C120,emi,846
21,PA121,O121,C121,netbanking,1683
22,PA122,O122,C122,netbanking,545
23,PA123,O123,C123,emi,763
24,PA124,O124,C124,emi,1792
25,PA125,O125,C125,debit card,1123
26,PA126,O126,C126,emi,569
27,PA127,O127,C127,paytm,705
28,PA128,O128,C128,debit card,1510
29,PA129,O129,C129,netbanking,1923
30,PA130,O130,C130,netbanking,334
31,PA131,O131,C131,paytm,2496
32,PA132,O132,C132,debit card,814
33,PA133,O133,C133,paytm,1470
34,PA134,O134,C134,emi,2129
35,PA135,O135,C135,cash,335
36,PA136,O136,C136,emi,2499
37,PA137,O137,C137,debit card,2143
38,PA138,O138,C138,paytm,602
39,PA139,O139,C139,emi,443
40,PA140,O140,C140,netbanking,284
41,PA141,O141,C141,emi,1844
42,PA142,O142,C142,cash,1025
43,PA143,O143,C143,cash,388
44,PA144,O144,C144,netbanking,616
45,PA145,O145,C145,paytm,701
46,PA146,O146,C146,cash,1119
47,PA147,O147,C147,cash,401
48,PA148,O148,C148,netbanking,878
49,PA149,O149,C149,debit card,1499
50,PA150,O150,C150,emi,296
51,PA151,O151,C151,netbanking,137
52,PA152,O152,C152,netbanking,1940
53,PA153,O153,C153,debit card,478
54,PA154,O154,C154,emi,1147
55,PA155,O155,C155,paytm,450
56,PA156,O156,C156,debit card,1483
57,PA157,O157,C157,paytm,2361
58,PA158,O158,C158,cash,267
59,PA159,O159,C159,debit card,209
60,PA160,O160,C160,cash,164
61,PA161,O161,C161,emi,1902
62,PA162,O162,C162,cash,2091
63,PA163,O163,C163,cash,1027
64,PA164,O164,C164,debit card,959
65,PA165,O165,C165,debit card,955
66,PA166,O166,C166,netbanking,904
67,PA167,O167,C167,emi,622
68,PA168,O168,C168,netbanking,1573
69,PA169,O169,C169,emi,2291
70,PA170,O170,C170,emi,2433
71,PA171,O171,C171,cash,2445
72,PA172,O172,C172,credit card,2024
73,PA173,O173,C173,cash,966
74,PA174,O174,C174,paytm,2343
75,PA175,O175,C175,emi,2273
76,PA176,O176,C176,debit card,1397
77,PA177,O177,C177,debit card,1988
78,PA178,O178,C178,emi,2312
79,PA179,O179,C179,credit card,1408
80,PA180,O180,C180,emi,1921
81,PA181,O181,C181,debit card,257
82,PA182,O182,C182,paytm,169
83,PA183,O183,C183,netbanking,485
84,PA184,O184,C184,emi,1286
85,PA185,O185,C185,emi,1217
86,PA186,O186,C186,credit card,1747
87,PA187,O187,C187,debit card,1815
88,PA188,O188,C188,credit card,2168
89,PA189,O189,C189,credit card,984
90,PA190,O190,C190,credit card,1302
91,PA191,O191,C191,paytm,1316
92,PA192,O192,C192,cash,742
93,PA193,O193,C193,paytm,1898
94,PA194,O194,C194,emi,2122
95,PA195,O195,C195,emi,1498
96,PA196,O196,C196,paytm,136
97,PA197,O197,C197,credit card,2207
98,PA198,O198,C198,credit card,308
99,PA199,O199,C199,credit card,1619
