,Supplier_ID,Product_ID
0,P173,P100
1,P166,P101
2,P199,P102
3,P178,P103
4,P106,P104
5,P112,P105
6,P153,P106
7,P195,P107
8,P153,P108
9,P120,P109
10,P110,P110
11,P126,P111
12,P149,P112
13,P160,P113
14,P190,P114
15,P103,P115
16,P128,P116
17,P187,P117
18,P144,P118
19,P147,P119
20,P134,P120
21,P131,P121
22,P198,P122
23,P161,P123
24,P183,P124
25,P190,P125
26,P111,P126
27,P187,P127
28,P143,P128
29,P183,P129
30,P115,P130
31,P125,P131
32,P126,P132
33,P146,P133
34,P166,P134
35,P116,P135
36,P136,P136
37,P194,P137
38,P173,P138
39,P120,P139
40,P168,P140
41,P120,P141
42,P112,P142
43,P153,P143
44,P156,P144
45,P167,P145
46,P175,P146
47,P101,P147
48,P181,P148
49,P117,P149
50,P180,P150
51,P133,P151
52,P135,P152
53,P136,P153
54,P165,P154
55,P158,P155
56,P108,P156
57,P105,P157
58,P165,P158
59,P155,P159
60,P133,P160
61,P196,P161
62,P174,P162
63,P131,P163
64,P140,P164
65,P138,P165
66,P101,P166
67,P132,P167
68,P138,P168
69,P123,P169
70,P200,P170
71,P101,P171
72,P143,P172
73,P101,P173
74,P200,P174
75,P133,P175
76,P154,P176
77,P114,P177
78,P100,P178
79,P127,P179
80,P186,P180
81,P150,P181
82,P101,P182
83,P104,P183
84,P142,P184
85,P181,P185
86,P165,P186
87,P159,P187
88,P172,P188
89,P179,P189
90,P192,P190
91,P122,P191
92,P162,P192
93,P115,P193
94,P179,P194
95,P193,P195
96,P194,P196
97,P152,P197
98,P144,P198
99,P119,P199
100,S158,P200
101,S150,P201
102,S196,P202
103,S188,P203
104,S175,P204
105,S112,P205
106,S185,P206
107,S106,P207
108,S184,P208
109,S122,P209
110,S194,P210
111,S130,P211
112,S143,P212
113,S158,P213
114,S139,P214
115,S129,P215
116,S110,P216
117,S182,P217
118,S145,P218
119,S153,P219
120,S173,P220
121,S116,P221
122,S126,P222
123,S135,P223
124,S153,P224
125,S195,P225
126,S100,P226
127,S149,P227
128,S150,P228
129,S101,P229
130,S161,P230
131,S161,P231
132,S177,P232
133,S140,P233
134,S197,P234
135,S137,P235
136,S144,P236
137,S184,P237
138,S100,P238
139,S129,P239
140,S122,P240
141,S185,P241
142,S119,P242
143,S130,P243
144,S160,P244
145,S181,P245
146,S148,P246
147,S106,P247
148,S146,P248
149,S172,P249
