id,street,city,state,country,zipcode,phone
1,748 Algoma Crossing,Washington,District of Columbia,United States,20210,2025627387
2,59978 Blaine Parkway,Santa Fe,New Mexico,United States,87592,5051838969
3,44 Twin Pines Pass,Lubbock,Texas,United States,79405,8063798402
4,811 Barnett Way,Plano,Texas,United States,75074,4696165874
5,6 New Castle Junction,Bradenton,Florida,United States,34282,9415390592
6,3386 Susan Court,Fresno,California,United States,93762,5595445302
7,8679 Bultman Park,Washington,District of Columbia,United States,20337,2027748968
8,7338 Scoville Trail,Philadelphia,Pennsylvania,United States,19146,2672785872
9,05 Dawn Crossing,Laredo,Texas,United States,78044,9562685217
10,84530 Brickson Park Point,Atlanta,Georgia,United States,31136,4049011429
11,35609 Briar Crest Pass,Albuquerque,New Mexico,United States,87121,5057410368
12,41751 Kim Plaza,Fort Worth,Texas,United States,76147,8175194021
13,51 Barby Drive,Colorado Springs,Colorado,United States,80940,7194463445
14,8769 8th Point,Myrtle Beach,South Carolina,United States,29579,8431585241
15,86802 Packers Circle,Charlotte,North Carolina,United States,28247,7046193715
16,3420 Macpherson Pass,Dayton,Ohio,United States,45419,9373478951
17,1 Mitchell Avenue,Syracuse,New York,United States,13217,3155572083
18,9 3rd Crossing,Redwood City,California,United States,94064,6502678499
19,53906 Melrose Hill,Fairfield,Connecticut,United States,06825,2033651812
20,2 Thackeray Pass,Newton,Massachusetts,United States,02162,5082135480
21,16282 Rieder Alley,Jefferson City,Missouri,United States,65110,5736606477
22,0382 Gulseth Trail,Richmond,Virginia,United States,23277,8047860015
23,25667 Fairview Street,Memphis,Tennessee,United States,38143,9011269330
24,75016 Melvin Lane,Kansas City,Missouri,United States,64144,8165261608
25,4614 3rd Trail,El Paso,Texas,United States,88514,9154502945
26,076 Ridge Oak Park,San Antonio,Texas,United States,78240,2101869361
27,18 Barby Crossing,Fort Lauderdale,Florida,United States,33345,7549797035
28,40 Pawling Drive,Oklahoma City,Oklahoma,United States,73197,4051261991
29,82716 Kennedy Place,Tampa,Florida,United States,33647,8134976131
30,93627 Jenifer Hill,Chicago,Illinois,United States,60614,3128423504
31,96788 Prentice Parkway,Scranton,Pennsylvania,United States,18505,5709337136
32,917 Forest Run Trail,Denver,Colorado,United States,80217,3037942564
33,63 Morrow Alley,Springfield,Illinois,United States,62711,2171579593
34,81797 Manley Avenue,Winston Salem,North Carolina,United States,27116,3369891632
35,6 Shelley Crossing,Santa Barbara,California,United States,93150,8057765548
36,9953 Twin Pines Circle,Miami,Florida,United States,33129,3056405470
37,90 Dunning Park,Huntington,West Virginia,United States,25726,3045420914
38,79 Center Way,Philadelphia,Pennsylvania,United States,19104,2159714698
39,2213 Forest Dale Crossing,Charleston,South Carolina,United States,29403,8437578446
40,015 Continental Plaza,Kingsport,Tennessee,United States,37665,4237443825
41,049 Hermina Parkway,Fort Worth,Texas,United States,76147,8179839208
42,462 Dahle Center,Philadelphia,Pennsylvania,United States,19178,2159094060
43,684 Oxford Plaza,Lafayette,Louisiana,United States,70593,3374766877
44,918 Nevada Avenue,Gainesville,Florida,United States,32605,3522231672
45,57052 Russell Street,Chattanooga,Tennessee,United States,37416,4239537616
46,28216 Green Point,Tacoma,Washington,United States,98464,2533441310
47,2955 Sugar Junction,Dallas,Texas,United States,75372,2146505762
48,2 Monument Road,Shawnee Mission,Kansas,United States,66276,9133322814
49,5797 Arizona Street,Clearwater,Florida,United States,33763,7274655105
50,78 Lillian Alley,Pittsburgh,Pennsylvania,United States,15230,4126972946
51,2 Elgar Road,Brooklyn,New York,United States,11220,7188492095
52,997 Esker Crossing,Los Angeles,California,United States,90055,2133262576
53,197 Vera Pass,Midland,Texas,United States,79705,4326584351
54,54 Muir Point,Boulder,Colorado,United States,80310,3038807431
55,928 Miller Place,Minneapolis,Minnesota,United States,55480,6125245318
56,97495 Moulton Parkway,Albany,New York,United States,12255,5185160657
57,3 Bultman Park,Young America,Minnesota,United States,55573,9525945864
58,23875 Hanover Court,El Paso,Texas,United States,88525,9158295007
59,748 Loomis Circle,Washington,District of Columbia,United States,20231,2026901115
60,70 Mariners Cove Point,Orlando,Florida,United States,32808,4071440546
61,75319 Victoria Road,Los Angeles,California,United States,90076,3235775928
62,78011 Eastlawn Terrace,Philadelphia,Pennsylvania,United States,19115,2674487786
63,91 Continental Junction,Los Angeles,California,United States,90030,2136317577
64,59 Hudson Crossing,Las Vegas,Nevada,United States,89105,7023330613
65,3354 East Parkway,Des Moines,Iowa,United States,50335,5153081935
66,3869 Utah Junction,Knoxville,Tennessee,United States,37924,8651150992
67,7 High Crossing Street,Pittsburgh,Pennsylvania,United States,15240,4121063997
68,357 Blaine Park,Daytona Beach,Florida,United States,32118,3864157175
69,9567 Nancy Junction,Houston,Texas,United States,77201,7135733707
70,0 Algoma Junction,Hollywood,Florida,United States,33028,3051126444
71,1821 Fieldstone Place,Carol Stream,Illinois,United States,60351,3092835810
72,1 Leroy Trail,Lincoln,Nebraska,United States,68510,4021756653
73,27610 Fuller Junction,Wichita,Kansas,United States,67230,3161774517
74,5 Hansons Circle,Terre Haute,Indiana,United States,47805,8122158209
75,8 Springview Street,Erie,Pennsylvania,United States,16522,8149998369
76,054 Melrose Avenue,Marietta,Georgia,United States,30066,7706899200
77,07 Beilfuss Park,Columbia,South Carolina,United States,29240,8033945190
78,4603 Hermina Place,Dallas,Texas,United States,75358,2142471139
79,54 Londonderry Parkway,Huntsville,Alabama,United States,35895,2561289220
80,670 West Crossing,Houston,Texas,United States,77288,7133556667
81,63 Paget Avenue,San Francisco,California,United States,94126,4158507763
82,4 Havey Junction,Champaign,Illinois,United States,61825,2174379808
83,01 Kedzie Way,Evansville,Indiana,United States,47732,8121234292
84,95395 Marcy Avenue,Philadelphia,Pennsylvania,United States,19151,2156938178
85,023 Ridgeway Plaza,Jackson,Tennessee,United States,38308,7317788057
86,9 Morrow Trail,El Paso,Texas,United States,79928,9159133961
87,0 Annamark Court,Warren,Michigan,United States,48092,5869979543
88,9520 Charing Cross Court,Kalamazoo,Michigan,United States,49006,2696718762
89,22 Carpenter Circle,Washington,District of Columbia,United States,20205,2028528792
90,78386 Larry Alley,Montgomery,Alabama,United States,36114,3342151371
91,5 Morningstar Junction,Miami,Florida,United States,33169,3058305580
92,60852 Myrtle Drive,San Antonio,Texas,United States,78296,2106385255
93,59 Hoard Avenue,Boston,Massachusetts,United States,02124,6171028228
94,669 David Center,Nashville,Tennessee,United States,37250,6153889226
95,7 Anthes Lane,Hartford,Connecticut,United States,06120,8601730976
96,0 Sachs Crossing,New York City,New York,United States,10184,2125848060
97,892 Raven Parkway,Sacramento,California,United States,95813,9165196004
98,79 Mifflin Drive,Fort Wayne,Indiana,United States,46814,2604453405
99,3 Paget Circle,Chattanooga,Tennessee,United States,37450,4233282597
100,576 Esch Trail,Fort Lauderdale,Florida,United States,33330,9543896125
